time, light, accx, accy, accz,
15.008, 1.37969, -0.0171912, -0.0248132, 9.71948, 
15.04, 1.37221, -0.0592045, -0.0228786, 9.76683, 
15.072, 1.38375, 4.34677, -0.00290784, 8.66787, 
15.104, 1.40626, 5.48688, -3.05509, 11.2009, 
15.136, 1.42328, 0.145941, -0.233917, 9.80677, 
15.168, 1.42936, -1.74691, -0.378365, 9.76893, 
15.2, 1.4526, 0.0941655, -0.0354518, 9.83522, 
15.232, 1.46365, 0.0560376, -0.0102617, 9.87047, 
15.264, 1.48395, -0.00729245, 0.0682567, 9.79589, 
15.296, 1.51057, -0.0235722, 0.0233901, 9.80519, 
15.328, 1.52784, 0.0346035, 0.0100967, 9.75704, 
15.36, 1.54552, -1.76305, -0.236178, 9.78871, 
15.392, 1.55177, 1.61357, -0.484802, 9.72506, 
15.424, 1.56625, -0.0231498, 0.0189565, 9.76179, 
15.456, 1.59648, 0.0422931, -0.000206058, 9.90385, 
15.488, 1.61813, 0.0424469, 0.137931, 9.84205, 
15.52, 1.62123, -0.0045805, -0.0589218, 9.78512, 
15.552, 1.64732, -1.74041, -0.124561, 9.86841, 
15.584, 1.66753, 1.44677, -0.198659, 9.78229, 
15.616, 1.6702, 0.0463067, -0.0588804, 9.77053, 
15.648, 1.70553, -1.66678, -0.142251, 9.81102, 
15.68, 1.71654, -1.76777, 0.00193029, 9.80732, 
15.712, 1.70901, -1.7783, 0.121711, 9.88188, 
15.744, 1.72878, 4.77864, 2.0285, 9.72711, 
15.776, 1.73274, -3.25646, -1.425, 9.8494, 
15.808, 1.76436, -1.65333, 0.186991, 9.75259, 
15.84, 1.76932, 1.93104, -0.365943, 9.57589, 
15.872, 1.79419, 0.0772582, 0.221243, 9.89089, 
15.904, 1.8227, 0.0122351, 0.0639101, 9.83348, 
15.936, 1.81809, 0.0543115, 0.150281, 9.70898, 
15.968, 1.8385, 0.0670625, 0.118523, 9.79713, 
16, 1.87482, -3.65876, -2.92916, 9.83451, 
16.032, 1.88322, -0.0145727, -0.0676362, 9.84, 
16.064, 1.92149, 0.0257185, 0.0553968, 9.82136, 
16.096, 1.91334, -0.0163821, -0.175961, 9.77709, 
16.128, 1.93502, 0.0230301, 0.00250103, 9.82416, 
16.16, 1.9566, -2.7236, -0.319099, 9.84834, 
16.192, 1.98148, 0.979212, 0.907592, 9.73499, 
16.224, 1.99976, 0.131455, 0.120934, 9.66517, 
16.256, 2.0147, 0.0273723, 0.0452275, 9.7781, 
16.288, 2.0508, 0.0431692, -0.0470867, 9.77235, 
16.32, 2.04825, 0.00364627, -0.0274378, 9.85272, 
16.352, 2.07628, 0.0379593, -0.018235, 9.83284, 
16.384, 2.0983, -0.0643931, -0.0869872, 9.74757, 
16.416, 2.1255, -0.00459021, 0.0148162, 9.76766, 
16.448, 2.12277, 0.0178968, -0.000825327, 9.80904, 
16.48, 2.16204, -0.118312, -0.0550913, 9.7412, 
16.512, 2.17147, 0.00322909, 0.0961146, 9.76441, 
16.544, 2.16314, 0.00742976, 0.130756, 9.77645, 
16.576, 2.17452, 0.0507626, 0.0225386, 9.83457, 
16.608, 2.17797, 0.0717977, 0.00227289, 9.81834, 
16.64, 2.16054, -2.65087, -0.407531, 9.80532, 
16.672, 2.16292, -1.39089, 0.725744, 9.7912, 
16.704, 2.18087, 0.0980813, 0.10576, 9.74728, 
16.736, 2.18033, 0.0763445, -0.03271, 9.73278, 
16.768, 2.19641, -2.66394, -0.531186, 9.80512, 
16.8, 2.18606, -1.50859, 0.629506, 9.68033, 
16.832, 2.17943, -1.53785, 0.579423, 9.79478, 
16.864, 2.17876, -1.51363, 0.451266, 9.81208, 
16.896, 2.19784, -1.57417, 0.530331, 9.75701, 
16.928, 2.18156, -1.59873, 0.366591, 9.86791, 
16.96, 2.19994, 9.25885, -3.39189, 10.4278, 
16.992, 2.21191, 2.24454, 0.0179154, 11.0539, 
17.024, 2.19557, -0.0716153, -0.0200171, 9.89565, 
17.056, 2.22195, 0.0633273, 0.106135, 9.9057, 
17.088, 2.22461, -1.81323, 0.398466, 9.77538, 
17.12, 2.22042, -0.0473956, 0.00153377, 9.85832, 
17.152, 2.23411, 0.049389, 0.0933685, 9.81052, 
17.184, 2.23983, -1.76353, 0.187062, 9.79141, 
17.216, 2.22643, -1.88583, 0.154061, 9.79633, 
17.248, 2.24376, -1.82422, -0.00905852, 9.79188, 
17.28, 2.21467, -1.78451, -0.0271086, 9.82097, 
17.312, 2.21747, -8.12535, -5.34571, 2.43296, 
17.344, 2.24427, -4.3982, -6.60847, 6.29869, 
17.376, 2.21694, 1.66932, 0.413647, 9.90252, 
17.408, 2.22463, 1.54195, 0.571545, 9.94568, 
17.44, 2.22751, -0.0696345, 0.0582256, 9.88045, 
17.472, 2.22293, 0.536562, -0.88587, 9.84633, 
17.504, 2.22407, 0.448379, -0.812885, 9.83703, 
17.536, 2.21811, 7.39069, 3.87666, 9.75235, 
17.568, 2.23678, 2.43029, 0.879312, 9.83391, 
17.6, 2.23873, -6.00728, 1.33443, 9.79285, 
17.632, 2.23892, -3.8144, -1.54808, 9.79588, 
17.664, 2.2272, -0.44946, -0.444368, 9.77466, 
17.696, 2.24735, -0.505957, -0.437017, 9.77781, 
17.728, 2.24261, -0.476021, -0.531687, 9.8135, 
17.76, 2.23815, 5.33213, 0.811368, 9.36661, 
17.792, 2.22203, -4.04913, -1.41105, 9.88669, 
17.824, 2.22637, -1.94778, 1.56288, 9.895, 
