time, posx, posy, heading, posx_acc, posy_acc, heading_acc,
15.008, 0, 0, 0, 0, 0, 0, 
15.04, 3.73923e-11, 7.36937e-13, 0.0197057, 0, 0, 0, 
15.072, 0.0120563, 0.000331554, 0.0274936, 0, 0, 0, 
15.104, 0.0241174, 0.000665712, 0.0276984, 0, 0, 0, 
15.136, 0.0241174, 0.000665715, 0.0516685, 0, 0, 0, 
15.168, 0.0241174, 0.000665717, 0.0848182, 0, 0, 0, 
15.2, 0.0355306, 0.00161258, 0.082773, 0, 0, 0, 
15.232, 0.0469476, 0.00253684, 0.080778, 0, 0, 0, 
15.264, 0.058362, 0.00344134, 0.0790769, 0, 0, 0, 
15.296, 0.0696123, 0.00431449, 0.0774557, 0, 0, 0, 
15.328, 0.0696123, 0.00431449, 0.102223, 0, 0, 0, 
15.36, 0.0696123, 0.00431449, 0.136436, 0, 0, 0, 
15.392, 0.0806275, 0.00575107, 0.129686, 0, 0, 0, 
15.424, 0.0916497, 0.00710469, 0.122197, 0, 0, 0, 
15.456, 0.0916497, 0.00710469, 0.14906, 0, 0, 0, 
15.488, 0.102789, 0.00858229, 0.131875, 0, 0, 0, 
15.52, 0.102789, 0.00858229, 0.158298, 0, 0, 0, 
15.552, 0.102789, 0.00858229, 0.194134, 0, 0, 0, 
15.584, 0.114037, 0.0106383, 0.180799, 0, 0, 0, 
15.616, 0.114037, 0.0106383, 0.210008, 0, 0, 0, 
15.648, 0.114037, 0.0106383, 0.247963, 0, 0, 0, 
15.68, 0.114037, 0.0106383, 0.290936, 0, 0, 0, 
15.712, 0.114037, 0.0106383, 0.340227, 0, 0, 0, 
15.744, 0.125324, 0.0145661, 0.334868, 0, 0, 0, 
15.776, 0.125324, 0.0145661, 0.371809, 0, 0, 0, 
15.808, 0.125324, 0.0145661, 0.412172, 0, 0, 0, 
15.84, 0.13627, 0.0193238, 0.410017, 0, 0, 0, 
15.872, 0.14721, 0.0240602, 0.408582, 0, 0, 0, 
