time, x, y, heading, vel_x, vel_y, vel_heading,
0.008, -1.99204e-09, -1.53147e-07, 0.00014498, 0, 0, 0, 
0.016, -1.98488e-09, 4.81393e-09, 0.000110752, 8.95544e-10, 1.97451e-05, -0.00427855, 
0.024, -1.65799e-09, -1.05059e-08, 8.67971e-05, 4.08613e-08, -1.91498e-06, -0.00299432, 
0.032, -1.35727e-09, -2.04038e-08, 6.85945e-05, 3.75893e-08, -1.23724e-06, -0.00227532, 
0.04, -1.07115e-09, -2.73075e-08, 5.44947e-05, 3.5766e-08, -8.62952e-07, -0.00176248, 
0.048, -8.35953e-10, -3.22959e-08, 4.35531e-05, 2.93992e-08, -6.23556e-07, -0.00136769, 
0.056, -6.62542e-10, -3.59249e-08, 3.51063e-05, 2.16764e-08, -4.53627e-07, -0.00105585, 
0.064, -5.44914e-10, -3.85563e-08, 2.86493e-05, 1.47035e-08, -3.28917e-07, -0.000807125, 
0.072, -4.7139e-10, -4.04499e-08, 2.37849e-05, 9.19056e-09, -2.36712e-07, -0.000608054, 
0.08, -4.3019e-10, -4.17989e-08, 2.01918e-05, 5.1499e-09, -1.68621e-07, -0.000449137, 
0.088, -4.11451e-10, -4.27474e-08, 1.7602e-05, 2.34243e-09, -1.18557e-07, -0.000323724, 
0.096, -4.07591e-10, -4.34031e-08, 1.57862e-05, 4.82451e-10, -8.19677e-08, -0.000226974, 
0.104, -4.13074e-10, -4.38465e-08, 1.45482e-05, -6.85384e-10, -5.54222e-08, -0.000154757, 
0.112, -4.23997e-10, -4.41372e-08, 1.37251e-05, -1.36536e-09, -3.63342e-08, -0.000102886, 
0.12, -4.37692e-10, -4.43192e-08, 1.31889e-05, -1.71188e-09, -2.27577e-08, -6.70169e-05, 
0.128, -4.52394e-10, -4.44251e-08, 1.28449e-05, -1.83769e-09, -1.32317e-08, -4.30076e-05, 
0.136, -4.66979e-10, -4.44784e-08, 1.26262e-05, -1.8231e-09, -6.66369e-09, -2.73369e-05, 
0.144, -4.80771e-10, -4.44963e-08, 1.24879e-05, -1.72409e-09, -2.23922e-09, -1.72904e-05, 
0.152, -4.93402e-10, -4.44911e-08, 1.24005e-05, -1.57888e-09, 6.46034e-10, -1.09251e-05, 
0.16, -5.04706e-10, -4.44716e-08, 1.23451e-05, -1.41294e-09, 2.43839e-09, -6.92055e-06, 
0.168, -5.14647e-10, -4.44439e-08, 1.23098e-05, -1.24269e-09, 3.46559e-09, -4.40974e-06, 
0.176, -5.23274e-10, -4.44122e-08, 1.22871e-05, -1.07828e-09, 3.96675e-09, -2.83612e-06, 
0.184, -5.30678e-10, -4.43792e-08, 1.22723e-05, -9.25557e-10, 4.11491e-09, -1.84762e-06, 
0.192, -5.36978e-10, -4.4347e-08, 1.22626e-05, -7.87465e-10, 4.03418e-09, -1.22357e-06, 
0.2, -5.42298e-10, -4.43165e-08, 1.22559e-05, -6.65057e-10, 3.8125e-09, -8.26474e-07, 
0.208, -5.46764e-10, -4.42884e-08, 1.22514e-05, -5.58187e-10, 3.5113e-09, -5.7095e-07, 
0.216, -5.50492e-10, -4.4263e-08, 1.22481e-05, -4.65999e-10, 3.17272e-09, -4.04082e-07, 
0.224, -5.5359e-10, -4.42404e-08, 1.22458e-05, -3.87245e-10, 2.82488e-09, -2.93087e-07, 
0.232, -5.56154e-10, -4.42205e-08, 1.22441e-05, -3.20507e-10, 2.48592e-09, -2.17632e-07, 
0.24, -5.58268e-10, -4.42032e-08, 1.22427e-05, -2.64331e-10, 2.16692e-09, -1.65074e-07, 
0.248, -5.60007e-10, -4.41882e-08, 1.22417e-05, -2.17316e-10, 1.87401e-09, -1.27513e-07, 
